index,doc_id,page_number,has_table,image_bytes,response
1,3M_2018_10K.pdf,1,False,,
1,3M_2018_10K.pdf,2,False,,
1,3M_2018_10K.pdf,3,False,,
1,3M_2018_10K.pdf,4,False,,
1,3M_2018_10K.pdf,5,False,,
1,3M_2018_10K.pdf,6,False,,
1,3M_2018_10K.pdf,7,False,,
